,name,rating,reviews,field,employees,ctype,old,location
244,ArcelorMittal Nippon Steel,4.0,2k,Iron & Steel , 5k-10k Employees , Conglomerate , Surat +59 more,
245,Titan Company,4.4,2k,Retail , 5k-10k Employees , Public , 39 years old , Bangalore +127 more
246,Jubilant Foods Works,3.8,2k,Retail , 10k-50k Employees , Public , 28 years old , Noida +174 more
247,Wipro Enterprises Ltd,3.9,2k,IT Services & Consulting , 501-1k Employees , 78 years old , Bangalore +75 more,
248,Reliance SMSL,4.0,2k,BPO , 1k-5k Employees , Public , 16 years old , Mumbai +449 more
249,Dilip Buildcon,4.0,2k,Engineering & Construction , 10k-50k Employees , Public , 36 years old , Bhopal +168 more
250,KPIT Technologies,3.6,2k,Software Product , 5k-10k Employees , Public , 33 years old , Pune +24 more
251,KocharTech,4.2,2k,IT Services & Consulting , 1k-5k Employees , 28 years old , Gurgaon/Gurugram +21 more,
252,Huawei Technologies,4.0,2k,IT Services & Consulting , 51-200 Employees , 21 years old , Gurgaon/Gurugram +92 more,
253,UPL,4.1,2k,Agro Chemicals , 1k-5k Employees , Public , 54 years old , Mumbai +137 more
254,Domino's Pizza,3.9,2k,Hospitality , 1k-5k Employees , Public , 63 years old , Ypsilanti +207 more
255,Birlasoft,3.7,2k,IT Services & Consulting , 10k-50k Employees , Public , 28 years old , Pune +31 more
256,Synechron,4.0,2k,IT Services & Consulting , 5k-10k Employees , 22 years old , New York +20 more,
257,Apollo Tyres,4.1,2k,Auto Components , 5k-10k Employees , Public , 51 years old , Gurgaon/Gurugram +145 more
258,Statestreet HCL Services,3.2,1.9k,BPO , 5k-10k Employees , 11 years old , New Delhi +14 more,
259,Patanjali Ayurved,4.0,1.9k,FMCG , 5k-10k Employees , Fortune India 500 , 17 years old , Haridwar +248 more
260,Lava International,4.1,1.9k,Telecom , 1k-5k Employees , Public , 14 years old , Noida +205 more
261,Suzlon Group,4.1,1.9k,Power , 5k-10k Employees , Public , 28 years old , Pune +94 more
262,Tata AIG,4.2,1.9k,Insurance , 5k-10k Employees , 23 years old , Mumbai +201 more,
263,Lenskart,3.2,1.9k,Other , 1k-5k Employees , Indian Unicorn , 13 years old , Faridabad +140 more
264,S&P Global,4.2,1.9k,IT Services & Consulting , 5k-10k Employees , Public , 106 years old , New York City +20 more
265,Flex,4.1,1.9k,Electronics Manufacturing , 10k-50k Employees , Forbes Global 2000 , 54 years old , San Jose +36 more
266,Capita,3.9,1.9k,IT Services & Consulting , 5k-10k Employees , 18 years old , Indore +20 more,
267,McDonald's,4.2,1.9k,Hospitality , 5k-10k Employees , Forbes Global 2000 , 68 years old , Chicago +128 more
268,AGS Health,4.1,1.9k,BPO , 10k-50k Employees , 12 years old , Washington DC +31 more,
269,Tech Mahindra Business Services,3.5,1.9k,BPO , 1k-5k Employees , Public , 20 years old , Mumbai +39 more
270,AFCONS Infrastructure,4.4,1.9k,Engineering & Construction , 10k-50k Employees , 64 years old , Mumbai +77 more,
271,Taj Hotels Resorts and Palaces,4.2,1.9k,Hospitality , 10k-50k Employees , 120 years old , Mumbai +87 more,
272,State Street Syntel,3.7,1.9k,Financial Services , 501-1k Employees , 19 years old , Mumbai +17 more,
273,Zensar Technologies,3.8,1.9k,IT Services & Consulting , 5k-10k Employees , Public , 22 years old , Pune +20 more
274,Mankind Pharma,4.1,1.9k,Pharma , 5k-10k Employees , Fortune India 500 , 28 years old , New Delhi +169 more
275,Max Healthcare,4.1,1.9k,Healthcare , 1k-5k Employees , Fortune India 500 , 22 years old , Delhi/NCR +52 more
276,Capgemini Engineering,3.6,1.9k,10k-50k Employees , Gurgaon/Gurugram +16 more,,,
277,Square Yards,3.7,1.9k,Real Estate , 1k-5k Employees , 10 years old , Gurgaon +39 more,
278,Bajaj Allianz General Insurance,4.0,1.8k,Financial Services , 5k-10k Employees , Pune +186 more,,
279,IGT Solutions,3.3,1.8k,IT Services & Consulting , 5k-10k Employees , 25 years old , Gurgaon/Gurugram +18 more,
280,Birla Sun Life Insurance,4.2,1.8k,Insurance , 10k-50k Employees , 23 years old , Mumbai +337 more,
281,Landmark Group,4.1,1.8k,Retail , 1k-5k Employees , Conglomerate , 50 years old , Dubai Marina +130 more
282,Walmart,4.0,1.8k,Retail , 5k-10k Employees , Forbes Global 2000 , 14 years old , Bangalore/Bengaluru +75 more
283,Tractors and Farm Equipment,4.1,1.8k,Automobile , 5k-10k Employees , Public , 63 years old , Chennai +147 more
284,Nestle,4.1,1.8k,Food Processing , 5k-10k Employees , Public , 64 years old , Vevey +206 more
285,Blue Dart Express,4.1,1.8k,Logistics , 10k-50k Employees , Public , 40 years old , Mumbai +222 more
286,Fortis Healthcare,4.0,1.8k,Healthcare , 5k-10k Employees , Public , 27 years old , Gurgaon/Gurugram +55 more
287,Tata Technologies,3.7,1.8k,IT Services & Consulting , 5k-10k Employees , Conglomerate , 34 years old , Singapore +35 more
288,Fiserv,3.7,1.8k,FinTech , 5k-10k Employees , Forbes Global 2000 , 39 years old , Brookfield +28 more
289,HDFC Sales,4.0,1.8k,Financial Services , 10k-50k Employees , 19 years old , Mumbai +256 more,
290,Societe Generale,3.9,1.8k,Financial Services , 1k-5k Employees , 23 years old , Bangalore/Bengaluru +13 more,
291,State Street Corporation,3.8,1.8k,Financial Services , 10k-50k Employees , Forbes Global 2000 , 231 years old , Boston +14 more
292,Ola Cabs,3.6,1.8k,Internet , 501-1k Employees , Indian Unicorn , 13 years old , Bangalore +90 more
293,Nokia,4.2,1.8k,Hardware & Networking , 10k-50k Employees , Forbes Global 2000 , 158 years old , Espoo +143 more
294,I Process Services,3.9,1.8k,Recruitment , 1k-5k Employees , 18 years old , Mumbai +249 more,
295,BlackBuck,3.8,1.8k,Logistics , 501-1k Employees , Indian Unicorn , 8 years old , Bangalore +271 more
296,UNO Minda,4.0,1.8k,Auto Components , 201-500 Employees , Fortune India 500 , 65 years old , Gurgaon +76 more
297,Lifestyle,4.4,1.7k,Retail , 10k-50k Employees , Fortune India 500 , 24 years old , Bangalore/Bengaluru +105 more
298,Voltas,4.0,1.7k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 69 years old , Mumbai +154 more
299,Future Retail,4.3,1.7k,Retail , 10k-50k Employees , Public , 36 years old , San Francisco +194 more
300,The Himalaya Drug Company,4.1,1.7k,Pharma , 5k-10k Employees , 93 years old , San Francisco +180 more,
301,ElasticRun,3.4,1.7k,Logistics , 1k-5k Employees , Indian Unicorn , 7 years old , Pune +306 more
302,Extramarks Education,3.5,1.7k,EdTech , 1k-5k Employees , 16 years old , Noida +97 more,
303,Eureka Forbes,3.9,1.7k,Consumer Electronics & Appliances , 5k-10k Employees , 41 years old , Mumbai +155 more,
304,Micro Labs,3.7,1.7k,Pharma , 10k-50k Employees , 50 years old , Bangalore/Bengaluru +107 more,
305,Radisson Hotels,4.0,1.7k,Hospitality , 10k-50k Employees , 114 years old , Minnetonka +96 more,
306,JMC Projects,4.2,1.7k,Engineering & Construction , 1k-5k Employees , Public , 41 years old , Mumbai +111 more
307,Britannia,4.1,1.7k,Food Processing , 5k-10k Employees , Public , 131 years old , Reading +201 more
308,Rivigo,3.9,1.7k,Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Gurgaon +147 more
309,TVS Supply Chain Solutions,3.9,1.7k,Logistics , 1k-5k Employees , 127 years old , Chennai +119 more,
310,Aditya Birla Group,4.2,1.7k,Retail , 10k-50k Employees , Conglomerate , 166 years old , Mumbai +209 more
311,Nokia Networks,4.3,1.7k,Telecom , 10k-50k Employees , Chennai +79 more,,
312,RSPL Group,4.1,1.7k,FMCG , 1k-5k Employees , 36 years old , Mumbai +152 more,
313,Exide Industries,3.5,1.7k,Auto Components , 1k-5k Employees , Public , 76 years old , Kolkata +170 more
314,PepsiCo,4.1,1.7k,Food Processing , 1k-5k Employees , Forbes Global 2000 , 34 years old , Harrison +194 more
315,G4S,4.0,1.7k,Law Enforcement & Security , 1 Lakh+ Employees , 27 years old , Gurgaon/Gurugram +114 more,
316,Grasim Industries,4.0,1.7k,Building Material , 10k-50k Employees , Public , 76 years old , Nagda +73 more
317,Johnson Controls,3.4,1.7k,Industrial Automation , 1k-5k Employees , Public , 28 years old , Cork +44 more
318,Tata Teleservices,4.1,1.7k,Telecom , 201-500 Employees , Public , 27 years old , Mumbai +145 more
319,Croma,4.2,1.7k,Retail , 1k-5k Employees , 17 years old , Mumbai +124 more,
320,Ajanta Pharma,4.0,1.7k,Pharma , 5k-10k Employees , Public , 50 years old , Mumbai +89 more
321,ACT Fibernet,4.1,1.7k,Telecom , 5k-10k Employees , 15 years old , Bengaluru/Bangalore +40 more,
322,R.R. Donnelley,4.1,1.7k,BPO , 5k-10k Employees , 159 years old , Chicago +14 more,
323,Sterlite Technologies,3.9,1.6k,Hardware & Networking , 1k-5k Employees , Public , 35 years old , Pune +65 more
324,Shree Cement,4.1,1.6k,Building Material , 5k-10k Employees , Public , 44 years old , Kolkata +162 more
325,TVS Credit,4.3,1.6k,NBFC , 10k-50k Employees , Public , 15 years old , Chennai +242 more
326,Life Insurance Corporation of India,4.3,1.6k,Insurance , 1 Lakh+ Employees , Fortune India 500 , 67 years old , Mumbai +388 more
327,Blue Star,4.1,1.6k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 80 years old , Mumbai +121 more
328,Dalmia Bharat Cement,4.1,1.6k,Building Material , 5k-10k Employees , Public , 88 years old , Delhi/NCR +171 more
329,Cholamandalam MS General Insurance,3.9,1.6k,Insurance , 1k-5k Employees , 22 years old , Chennai +307 more,
330,Delhi Public School,3.8,1.6k,Education & Training , 1k-5k Employees , Public , 25 years old , Greater Noida +223 more
331,Sonalika Tractors,3.7,1.6k,Automobile , 1k-5k Employees , 54 years old , Hoshiarpur +134 more,
332,Pfizer,4.1,1.6k,Pharma , 1k-5k Employees , Public , 19 years old , Chennai +107 more
333,IKS Health,3.6,1.6k,Healthcare , 5k-10k Employees , 16 years old , Mumbai +11 more,
334,Emcure Pharmaceuticals,3.8,1.6k,Pharma , 5k-10k Employees , Fortune India 500 , 42 years old , Pune +85 more
335,Yazaki,3.8,1.6k,Auto Components , 10k-50k Employees , 82 years old , Tokyo +52 more,
336,Renault-Nissan,4.1,1.6k,Automobile , 10k-50k Employees , 16 years old , Chennai +72 more,
337,Samsung Electronics,4.0,1.6k,Noida +185 more,,,,
338,XpressBees,3.8,1.6k,Logistics , 1k-5k Employees , Indian Unicorn , 8 years old , Pune +203 more
339,Zomato,3.7,1.6k,Internet , 1k-5k Employees , Public , 15 years old , Gurgaon +157 more
340,Mahindra Logistics,4.1,1.6k,Logistics , 1k-5k Employees , Public , 23 years old , Mumbai +110 more
341,Barclays,4.1,1.6k,Banking , 10k-50k Employees , Forbes Global 2000 , 333 years old , London +24 more
342,BHEL,4.2,1.5k,Electrical Equipment , 10k-50k Employees , Fortune India 500 , 59 years old , Bangalore/Bengaluru +93 more
343,Datamatics Global Services,3.6,1.5k,IT Services & Consulting , 1k-5k Employees , Public , 48 years old , Mumbai +23 more
344,Indus Towers,4.0,1.5k,Telecom , 1k-5k Employees , Fortune India 500 , 16 years old , Gurgaon +133 more
345,V-Mart,4.2,1.5k,Retail , 5k-10k Employees , Public , 21 years old , Gurgaon/Gurugram +220 more
346,Mahindra Holidays & Resorts,3.7,1.5k,Hospitality , 5k-10k Employees , 27 years old , Mumbai +91 more,
347,DS Group,4.0,1.5k,FMCG , 1k-5k Employees , Conglomerate , 94 years old , Noida +162 more
348,Parle Agro,4.2,1.5k,Beverage , 1k-5k Employees , 39 years old , Mumbai +166 more,
349,Raymond,4.0,1.5k,Fashion & Textile , 5k-10k Employees , Public , 98 years old , New York +114 more
350,PVR Cinemas,4.1,1.5k,Media & Entertainment , 5k-10k Employees , Public , 26 years old , Gurgaon +94 more
351,Kalpataru Power Transmission,4.1,1.5k,Power , 1k-5k Employees , Public , 42 years old , Mumbai +196 more
352,HCL Infosystems,3.9,1.5k,IT Services & Consulting , 51-200 Employees , Public , 47 years old , Noida +105 more
353,Kalyan Jewellers,4.8,1.5k,Metals & Mining , 5k-10k Employees , Fortune India 500 , 30 years old , Bengaluru/Bangalore +123 more
354,Indian Railways,4.2,1.5k,Railways , 1 Lakh+ Employees , Central , 170 years old , Delhi/NCR +192 more
355,SRF,4.2,1.5k,Chemicals , 5k-10k Employees , Public , 53 years old , Gurgaon/Gurugram +42 more
356,Poonawalla Fincorp,3.9,1.5k,NBFC , 5k-10k Employees , Public , 35 years old , Mumbai +243 more
357,Ambuja Cements,3.9,1.5k,Building Material , 5k-10k Employees , Public , 40 years old , Mumbai +176 more
358,Movate,3.5,1.5k,IT Services & Consulting , 1k-5k Employees , 27 years old , Plano +23 more,
359,Reliance Trends,4.3,1.5k,Retail , 1 Lakh+ Employees , Conglomerate , 17 years old , Navi Mumbai +300 more
360,Info Edge,4.1,1.5k,Internet , 1k-5k Employees , Public , 28 years old , Noida +53 more
361,Cybage,4.0,1.5k,IT Services & Consulting , 5k-10k Employees , 28 years old , Pune +7 more,
362,ICICI Securities,3.7,1.5k,Financial Services , 5k-10k Employees , Public , 28 years old , Mumbai +115 more
363,Kansai Nerolac Paints,3.9,1.5k,Chemicals , 1k-5k Employees , Public , 103 years old , Mumbai +145 more
364,Whirlpool,4.1,1.5k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 112 years old , Michigan +130 more
365,Myntra,4.1,1.5k,Internet , 1k-5k Employees , 16 years old , Bangalore +92 more,
366,Shell,4.4,1.5k,Oil & Gas , 10k-50k Employees , Public , 19 years old , London +75 more
367,Force Motors,3.4,1.5k,Automobile , 1k-5k Employees , Public , 65 years old , Pune +79 more
368,Shriram City,4.1,1.5k,Financial Services , 50k-1 Lakh Employees , Public , 37 years old , Chennai +402 more
369,JCB,3.9,1.5k,Industrial Machinery , 1k-5k Employees , 78 years old , Rocester +79 more,
370,Kyndryl,4.0,1.5k,IT Services & Consulting , 10k-50k Employees , 2 years old , New York +19 more,
371,BT Group,4.1,1.5k,Telecom , 10k-50k Employees , Forbes Global 2000 , 177 years old , London +15 more
372,ZS,3.6,1.5k,Management Consulting , 5k-10k Employees , 40 years old , Evanston +7 more,
373,3i Infotech,3.6,1.5k,IT Services & Consulting , 1k-5k Employees , Public , 30 years old , Mumbai +97 more
374,Cadila Pharmaceuticals,3.3,1.5k,Pharma , 5k-10k Employees , Public , 72 years old , Ahmedabad +103 more
375,Sterling & Wilson,4.1,1.5k,Engineering & Construction , 501-1k Employees , 96 years old , Mumbai +77 more,
376,Shahi Exports,4.0,1.5k,Retail , 1 Lakh+ Employees , 49 years old , Faridabad +52 more,
377,Blinkit,3.8,1.4k,Internet , 1k-5k Employees , Indian Unicorn , 10 years old , Gurgaon +57 more
378,ITC Hotels,4.1,1.4k,Hospitality , 5k-10k Employees , Public , 48 years old , Kolkata +69 more
379,Endurance Technologies,3.8,1.4k,Auto Components , 1k-5k Employees , Public , 38 years old , Aurangabad +36 more
380,Bharti AXA Life Insurance,3.9,1.4k,Insurance , 5k-10k Employees , 17 years old , Mumbai +213 more,
381,Delphi TVS,4.0,1.4k,Auto Components , 1k-5k Employees , 34 years old , Kanchipuram +27 more,
382,Sobha,4.0,1.4k,Real Estate , 1k-5k Employees , Public , 28 years old , Bangalore/Bengaluru +34 more
383,Lodha group,4.1,1.4k,Real Estate , 1k-5k Employees , Fortune India 500 , 43 years old , Mumbai +19 more
384,Brakes India,4.0,1.4k,Auto Components , 1k-5k Employees , Fortune India 500 , 61 years old , Chennai +68 more
385,Fujitsu,3.9,1.4k,IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 88 years old , Bangalore/Bengaluru +22 more
386,Syngene International,3.9,1.4k,Pharma , 1k-5k Employees , Public , 30 years old , Bangalore/Bengaluru +12 more
387,Taurus BPO Services,4.7,1.4k,BPO , 1k-5k Employees , 8 years old , Pune +11 more,
388,Bharat Petroleum,4.1,1.4k,Oil & Gas , 5k-10k Employees , Fortune India 500 , 71 years old , Mumbai +198 more
389,Future Generali India Life Insurance,3.8,1.4k,Insurance , 1k-5k Employees , 16 years old , Mumbai +155 more,
390,Tata Elxsi,4.0,1.4k,IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Bangalore/Bengaluru +18 more
391,Aavas Financiers,4.0,1.4k,Financial Services , 5k-10k Employees , Public , 12 years old , Jaipur +217 more
392,Tata Motors Finance,4.1,1.4k,NBFC , 1k-5k Employees , Conglomerate , 66 years old , Mumbai +208 more
393,JK Tyres,3.8,1.4k,Auto Components , 1k-5k Employees , Fortune India 500 , 72 years old , New Delhi +121 more
394,Coromandel International,4.1,1.4k,Agriculture , 5k-10k Employees , Public , 62 years old , Hyderabad/Secunderabad +136 more
395,café Coffee day,4.0,1.4k,Beverage , 10k-50k Employees , 27 years old , Bengaluru +87 more,
396,Bureau Veritas,3.9,1.4k,Accounting & Auditing , 1k-5k Employees , Forbes Global 2000 , 195 years old , Paris La Défense +89 more
397,Mahindra Rural Housing Finance,4.1,1.4k,Financial Services , 5k-10k Employees , Public , 16 years old , Mumbai +354 more
398,MSN Laboratories,3.8,1.4k,Pharma , 1k-5k Employees , 20 years old , Hyderabad/Secunderabad +58 more,
399,suzuki motor gujarat,4.2,1.4k,Fortune India 500 , Becharaji +61 more,,,
400,Gabriel India,4.2,1.4k,Auto Components , 1k-5k Employees , Public , 62 years old , Pune +36 more
401,Care Health Insurance,3.8,1.4k,Internet , 5k-10k Employees , Public , 11 years old , Gurgaon +177 more
402,Sopra Steria,4.0,1.4k,IT Services & Consulting , 5k-10k Employees , Conglomerate , 55 years old , Paris +12 more
403,Thomson Reuters,4.1,1.3k,Software Product , 1k-5k Employees , Forbes Global 2000 , 15 years old , Toronto +23 more
404,Indian Navy,4.6,1.3k,Defence & Aerospace , 50k-1 Lakh Employees , Central , 73 years old , Delhi/NCR +55 more
405,Adani Wilmar,4.2,1.3k,FMCG , 1k-5k Employees , Public , 24 years old , Ahmedabad +132 more
406,Jindal Stainless,4.2,1.3k,Iron & Steel , 1k-5k Employees , Public , 53 years old , Delhi/NCR +41 more
407,Ninjacart,3.9,1.3k,Logistics , 1k-5k Employees , Startup , 8 years old , Bangalore +84 more
408,GVK Emergency Management and Research Institute,3.7,1.3k,Non-Profit , 10k-50k Employees , 18 years old , Hyderabad/Secunderabad +127 more,
409,UpGrad,4.1,1.3k,EdTech , 1k-5k Employees , Indian Unicorn , 8 years old , San Francisco +33 more
410,Canara HSBC Life Insurance,3.8,1.3k,Insurance , 1k-5k Employees , 15 years old , Gurgaon/Gurugram +223 more,
411,RMSI,3.8,1.3k,IT Services & Consulting , 1k-5k Employees , 31 years old , Noida +12 more,
412,CAMS,3.6,1.3k,IT Services & Consulting , 5k-10k Employees , 35 years old , Chennai +89 more,
413,Citicorp,3.8,1.3k,Financial Services , 201-500 Employees , 26 years old , Mumbai +23 more,
414,Unacademy,3.4,1.3k,EdTech , 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +44 more
415,Motilal Oswal Financial Services,3.5,1.3k,Financial Services , 5k-10k Employees , Public , 36 years old , Mumbai +116 more
416,Lucas-TVS,4.0,1.3k,Auto Components , 5k-10k Employees , 62 years old , Chennai +50 more,
417,Honda,4.1,1.3k,Automobile , 10k-50k Employees , Forbes Global 2000 , 38 years old , Greater Noida +183 more
